covered_sa_frac,covered_state_frac,distance_mse,env,gamma,goal_reach_frac,long_horizon_mse,mean_length,median_steps,method,n_trajectories,optimal_start_action,optimal_start_value,overestimate_mean,p_success,pred_start_risky,pred_start_safe,regret,risky_action,risky_overestimate_ratio,safe_length,seed,stage,start_action,start_value,success_rate,triangle_violation_rate,true_start_risky,true_start_safe,underestimate_mean,value_mse
0.484375,1.0,1334809.7179560286,det_chain_n32,0.98,1.0,0.4129971466755522,31.0,31.0,mc_positive,64.0,,0.5345746329947881,7.24247051220317e-17,,0.5345746329947875,0.0,0.0,1.0,0.9999999999999988,31,0,deterministic,1.0,0.5345746329947881,1.0,0.0,0.5345746329947881,0.5238831403348924,0.5730640556424912,0.46142526745715395
0.484375,1.0,1334809.7179560286,det_chain_n32,0.98,1.0,0.4129971466755522,31.0,31.0,mc_all_goals,64.0,,0.5345746329947881,7.24247051220317e-17,,0.5345746329947875,0.0,0.0,1.0,0.9999999999999988,31,0,deterministic,1.0,0.5345746329947881,1.0,0.0,0.5345746329947881,0.5238831403348924,0.5730640556424912,0.46142526745715395
0.484375,1.0,1334809.7179560286,det_chain_n32,0.98,1.0,0.4129971466755522,31.0,31.0,trl_raw_realized,64.0,,0.5345746329947881,0.0,,0.5345746329947881,0.0,0.0,1.0,1.0,31,0,deterministic,1.0,0.5345746329947881,1.0,0.0,0.5345746329947881,0.5238831403348924,0.5730640556424911,0.46142526745715395
0.484375,1.0,1334809.7179560286,det_chain_n32,0.98,1.0,0.4129971466755522,31.0,31.0,trl_log_realized,64.0,,0.5345746329947881,1.0462550964485118e-17,,0.5345746329947881,0.0,0.0,1.0,1.0,31,0,deterministic,1.0,0.5345746329947881,1.0,0.0,0.5345746329947881,0.5238831403348924,0.5730640556424911,0.46142526745715395
0.484375,1.0,1447619.4656500402,det_chain_n32,0.98,1.0,0.5248299559372591,31.0,inf,bellman_6_sweeps,64.0,,0.5345746329947881,0.0014753298655003145,,0.0,0.0,0.5345746329947881,0.0,0.0,31,0,deterministic,0.0,0.0,0.0,0.0202,0.5345746329947881,0.5238831403348924,0.6055473388747454,0.47388065099596155
0.484375,1.0,890297.5219820937,det_chain_n32,0.98,1.0,0.2694277685382971,31.0,31.0,sto_trl_6_sweeps,64.0,,0.5345746329947881,0.0036243524787156946,,0.534574632994788,0.5238831403348922,0.0,1.0,0.9999999999999998,31,0,deterministic,1.0,0.5345746329947881,1.0,0.0,0.5345746329947881,0.5238831403348924,0.38455783197663795,0.31176012188529223
0.484375,1.0,1334809.7179560286,det_chain_n32,0.98,1.0,0.4129971466755522,31.0,31.0,mc_positive,64.0,,0.5345746329947881,7.24247051220317e-17,,0.5345746329947875,0.0,0.0,1.0,0.9999999999999988,31,1,deterministic,1.0,0.5345746329947881,1.0,0.0,0.5345746329947881,0.5238831403348924,0.5730640556424912,0.46142526745715395
0.484375,1.0,1334809.7179560286,det_chain_n32,0.98,1.0,0.4129971466755522,31.0,31.0,mc_all_goals,64.0,,0.5345746329947881,7.24247051220317e-17,,0.5345746329947875,0.0,0.0,1.0,0.9999999999999988,31,1,deterministic,1.0,0.5345746329947881,1.0,0.0,0.5345746329947881,0.5238831403348924,0.5730640556424912,0.46142526745715395
0.484375,1.0,1334809.7179560286,det_chain_n32,0.98,1.0,0.4129971466755522,31.0,31.0,trl_raw_realized,64.0,,0.5345746329947881,0.0,,0.5345746329947881,0.0,0.0,1.0,1.0,31,1,deterministic,1.0,0.5345746329947881,1.0,0.0,0.5345746329947881,0.5238831403348924,0.5730640556424911,0.46142526745715395
0.484375,1.0,1334809.7179560286,det_chain_n32,0.98,1.0,0.4129971466755522,31.0,31.0,trl_log_realized,64.0,,0.5345746329947881,1.0462550964485118e-17,,0.5345746329947881,0.0,0.0,1.0,1.0,31,1,deterministic,1.0,0.5345746329947881,1.0,0.0,0.5345746329947881,0.5238831403348924,0.5730640556424911,0.46142526745715395
