action_bin_levels,action_gain,action_mode,action_scale,action_smoothing,action_threshold,cell_size,env,episodes_per_task,gamma,iters,method,n_edges,n_states,overall_success,polish_iters,proximity_weight,seed,task1_success,task2_success,task3_success,task4_success,task5_success,task_ids,transition_candidates,transition_k
3,1.0,persistent_waypoint,0.16,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.24000000000000005,0,0.02,1,0.4,0.1,0.4,0.2,0.1,all,256,5
3,1.0,persistent_waypoint,0.16,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.3,0,0.02,2,0.3,0.2,0.2,0.5,0.3,all,256,5
3,0.8,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.45999999999999996,0,0.02,0,0.7,0.2,0.6,0.4,0.4,all,256,5
3,0.8,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.22000000000000003,0,0.02,1,0.3,0.1,0.4,0.2,0.1,all,256,5
3,0.8,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.24,0,0.02,2,0.1,0.2,0.2,0.5,0.2,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.45999999999999996,0,0.02,0,0.7,0.2,0.6,0.4,0.4,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.24000000000000005,0,0.02,1,0.4,0.1,0.4,0.2,0.1,all,256,5
3,1.0,persistent_waypoint,0.2,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.3,0,0.02,2,0.3,0.2,0.2,0.5,0.3,all,256,5
3,0.8,persistent_waypoint,0.28,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.45999999999999996,0,0.02,0,0.7,0.2,0.6,0.4,0.4,all,256,5
3,0.8,persistent_waypoint,0.28,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.22000000000000003,0,0.02,1,0.3,0.1,0.4,0.2,0.1,all,256,5
3,0.8,persistent_waypoint,0.28,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.24,0,0.02,2,0.1,0.2,0.2,0.5,0.2,all,256,5
3,1.0,persistent_waypoint,0.28,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.45999999999999996,0,0.02,0,0.7,0.2,0.6,0.4,0.4,all,256,5
3,1.0,persistent_waypoint,0.28,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.24000000000000005,0,0.02,1,0.4,0.1,0.4,0.2,0.1,all,256,5
3,1.0,persistent_waypoint,0.28,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.26,0,0.02,2,0.2,0.2,0.2,0.5,0.2,all,256,5
3,0.8,persistent_waypoint,0.4,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.45999999999999996,0,0.02,0,0.7,0.2,0.6,0.4,0.4,all,256,5
3,0.8,persistent_waypoint,0.4,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.22000000000000003,0,0.02,1,0.3,0.1,0.4,0.2,0.1,all,256,5
3,0.8,persistent_waypoint,0.4,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.24,0,0.02,2,0.1,0.2,0.2,0.5,0.2,all,256,5
3,1.0,persistent_waypoint,0.4,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.45999999999999996,0,0.02,0,0.7,0.2,0.6,0.4,0.4,all,256,5
3,1.0,persistent_waypoint,0.4,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.22000000000000003,0,0.02,1,0.3,0.1,0.4,0.2,0.1,all,256,5
3,1.0,persistent_waypoint,0.4,0.0,0.25,1.0,pointmaze-teleport-navigate-v0,10,0.995,11,sto_trl_matched,4197,554,0.27999999999999997,0,0.02,2,0.3,0.2,0.2,0.5,0.2,all,256,5
